FID,Project_Name,,Date_Received,Meeting_Date,Meeting_Time,Meeting_Location_Place,Meeting_Location_Address,Meeting_Location_City,Meeting_Location_Zip,Coordinates,,geom,Route
vPublic_PresubmissionCommunityMeetings.fid--710a7ce6_150a1414ed4_-bc,Goldberg Property  Lots 5&6,,22-10-2015,07-12-2015,6:00 PM,Miller Branch Library,9421 Frederick Road,Ellicott City,21042,"(39.2902,-76.7925)",,POINT (1371103.2518179268 591280.2654402815),
vPublic_PresubmissionCommunityMeetings.fid--710a7ce6_150a1414ed4_-bb,Curtis Property,,22-10-2015,02-12-2015,6:00 p.m.,Howard County Central Library,10375 Little Patuxent Pkwy,Columbia,21044,"(39.2131,-76.8008)",,POINT (1368751.1748661175 563229.5729875881),
vPublic_PresubmissionCommunityMeetings.fid--710a7ce6_150a1414ed4_-ba,Village Crest Age-Restricted,,02-10-2015,28-10-2015,7:00 PM,Miller Branch Library,9421 Frederick Road,Ellicott City,21042,"(39.2526,-76.7914)",,POINT (1371436.6224537343 577595.2378894687),
vPublic_PresubmissionCommunityMeetings.fid--710a7ce6_150a1414ed4_-b9,Simpson Property,,29-09-2015,28-10-2015,6:30 PM,Dayton Oaks Elementary School,4691 Ten Oaks Road,Dayton,21036,"(39.2308,-77.0006)",,POINT (1312128.3288410194 569666.3099412341),
vPublic_PresubmissionCommunityMeetings.fid--710a7ce6_150a1414ed4_-b8,Taylor Place,,01-10-2015,28-10-2015,6:00 PM,Miller Branch Library,9421 Frederick Road,Ellicott City,21042,"(39.2575,-76.7936)",,POINT (1370793.2180873603 579377.8297480773),
vPublic_PresubmissionCommunityMeetings.fid--710a7ce6_150a1414ed4_-b7,"Trotter Woods, Sec II",,16-09-2015,14-10-2015,6:00 PM,Fifth District Volunteer Fire Dept.,5000 Signal Bell Lane,Clarksville,21029,"(39.2069,-76.9219)",,POINT (1334430.3806383498 560981.6294001918),
vPublic_PresubmissionCommunityMeetings.fid--710a7ce6_150a1414ed4_-b6,Walker Meadows,,17-09-2015,13-10-2015,6:00 PM,West Friendship Volunteer Fire Dept.,12535 Old Frederick Road,Sykesville,21784,"(39.3427,-76.9409)",,POINT (1329060.3177291378 610341.7001623064),
vPublic_PresubmissionCommunityMeetings.fid--710a7ce6_150a1414ed4_-b5,Lisbon Volunteer Fire Company,,09-09-2015,08-10-2015,6:00 PM,Lisbon Volunteer Fire Co.,1330 Woodbine Road,Lisbon,21765,"(39.3375,-77.074)",,POINT (1291331.7908125632 608458.2998728286),
vPublic_PresubmissionCommunityMeetings.fid--710a7ce6_150a1414ed4_-b4,Francis Property,,19-08-2015,08-10-2015,6:00 PM,Elkridge Volunteer Fire Dept.,6275 Old Washington Blvd.,Elkridge,21075,"(39.2226,-76.776)",,POINT (1375780.598851245 566692.5415739324),
vPublic_PresubmissionCommunityMeetings.fid--710a7ce6_150a1414ed4_-b3,Wilson Village,,02-09-2015,30-09-2015,6:00 PM,Glenwood Library,2350 Route 97,Cooksville,21723,"(39.3478,-77.0661)",,POINT (1293563.8022503518 612228.7829241902),
vPublic_PresubmissionCommunityMeetings.fid--710a7ce6_150a1414ed4_-b2,Hinkle Property,,11-08-2015,24-09-2015,6:00 PM,Maple Lawn Community Center,7600 Maple Lawn Blvd.,Fulton,20759,"(39.1689,-76.9509)",,POINT (1326213.9573887847 547162.8203893024),
vPublic_PresubmissionCommunityMeetings.fid--710a7ce6_150a1414ed4_-b1,Holiday Hills,,25-08-2015,23-09-2015,6:00 PM,Central Branch Library,10375 Little Patuxent Parkway,Columbia,21044,"(39.1783,-76.8814)",,POINT (1345928.6961847655 550586.3879982736),
vPublic_PresubmissionCommunityMeetings.fid--710a7ce6_150a1414ed4_-b0,Fulton Family Childcare,,14-08-2015,19-09-2015,10:00 a.m.,Howard Co. East Columbia Library,6600 Cradlerock Way,Columbia,21045,"(39.1814,-76.9036)",,POINT (1339640.7129625864 551705.6350340489),
vPublic_PresubmissionCommunityMeetings.fid--710a7ce6_150a1414ed4_-af,Patuxent Engineering,,20-08-2015,10-09-2015,6:30 PM,Elkridge Elementary School,7075 Montgomery Road,Elkridge,21075,"(39.2159,-76.7098)",,POINT (1394544.231030658 564258.8578790687),
vPublic_PresubmissionCommunityMeetings.fid--710a7ce6_150a1414ed4_-ae,Merriweather Post Pavilion Renovations,,11-08-2015,08-09-2015,6:00 PM,Merriweather Post Pavilion,10475 Little Patuxent Parkway,Columbia,21044,"(39.209,-76.8621)",,POINT (1351381.8979807943 561754.9605560787),
vPublic_PresubmissionCommunityMeetings.fid--710a7ce6_150a1414ed4_-ad,Red Lion,,13-08-2015,08-09-2015,6:00 PM,Kiwanis-Wallas Hall,3300 Norberts Way,Ellicott City,21042,"(39.3039,-76.8359)",,POINT (1358806.1360986866 596261.8681684937),
vPublic_PresubmissionCommunityMeetings.fid--710a7ce6_150a1414ed4_-ac,St. Andrews Episcopal Church,,29-07-2015,27-08-2015,6:00 P.M.,St. Andrews Episcopal Church,2892 Route 97,Glenwood,21738,"(39.2934,-77.0264)",,POINT (1304825.6622900367 592436.7929453924),
vPublic_PresubmissionCommunityMeetings.fid--710a7ce6_150a1414ed4_-ab,Elm Lee Far Lot 1,,03-08-2015,27-08-2015,6:00 PM,Lisbon Volunteer Fire Dept.,1330 Woodbine Road,Woodbine,21797,"(39.3632,-77.1059)",,POINT (1282292.9404902458 617803.7965962831),
vPublic_PresubmissionCommunityMeetings.fid--710a7ce6_150a1414ed4_-aa,Dorsey Overlook,,28-07-2015,26-08-2015,6:00 PM,Linden Hall - Dorsey Search,4765 Dorsey Hall Drive,Ellicott City,21042,"(39.2404,-76.8432)",,POINT (1356735.4536565877 573166.2408640832),
vPublic_PresubmissionCommunityMeetings.fid--710a7ce6_150a1414ed4_-a9,Ferron Property,,28-07-2015,24-08-2015,6:00 PM,Elkridge Library,6540 Washington Blvd.,Elkridge,21075,"(39.2075,-76.753)",,POINT (1382297.9166754782 561192.7877507117),
vPublic_PresubmissionCommunityMeetings.fid--710a7ce6_150a1414ed4_-a8,Kings Arms  Sec 6,,29-07-2015,24-08-2015,6:00 PM,North Laurel Community Center,9411 Whiskey Bottom Road,Laurel,20723,"(39.1225,-76.8395)",,POINT (1357807.1942478344 530281.9909995515),
vPublic_PresubmissionCommunityMeetings.fid--710a7ce6_150a1414ed4_-a7,BP Gas Station,,24-07-2015,24-08-2015,7:00 P.M.,Miller Branch Library,9421 Frederick Road,Ellicott City,21042,"(39.2809,-76.8147)",,POINT (1364823.630240418 587881.5830227863),
vPublic_PresubmissionCommunityMeetings.fid--710a7ce6_150a1414ed4_-a6,BS Land Acquisition LLC,,28-07-2015,20-08-2015,6:00 PM,East Columbia Library,6600 Cradlerock Way,Columbia,21045,"(39.1851,-76.8812)",,POINT (1345975.4908603542 553028.945681192),
vPublic_PresubmissionCommunityMeetings.fid--710a7ce6_150a1414ed4_-a5,CEDARS EXTENDED LOT R,,27-07-2015,20-08-2015,6:00 PM,Elkridge Volunteer Fire Dept,6275 Old Washington Rd,Elkridge,21075,"(39.1686,-76.7935)",,POINT (1370846.8849089295 547058.2907218933),
vPublic_PresubmissionCommunityMeetings.fid--710a7ce6_150a1414ed4_-a4,Montgomery Patel Property,,12-08-2015,19-08-2015,6:00 PM,Elkridge Volunteer Fire Dept,6275 Old Washington Road,Elkridge,21075,"(39.2116,-76.7418)",,POINT (1385495.6130722463 562695.249315504),
vPublic_PresubmissionCommunityMeetings.fid--710a7ce6_150a1414ed4_-a3,Dorsey's Ridge,,17-07-2015,17-08-2015,6:00 p.m.,St. Paul Catholic Church,3755 St. Paul Street,Ellicott Ctiy,21043,"(39.2631,-76.8166)",,POINT (1364290.0367983542 581407.9060701914),
vPublic_PresubmissionCommunityMeetings.fid--710a7ce6_150a1414ed4_-a2,Antwerpen Properties,,24-06-2015,04-08-2015,6:00 PM,River Hill Meeting Room,6330 Trotter Road,Clarksville,21029,"(39.2071,-76.9435)",,POINT (1328328.2973460928 561035.5597339999),
vPublic_PresubmissionCommunityMeetings.fid--710a7ce6_150a1414ed4_-a1,Montgomery Patel Property,,23-06-2015,28-07-2015,6:00 PM,Elkridge Branch Library,6540 Washington Blvd,Elkridge,21075,"(39.2116,-76.7418)",,POINT (1385495.6130722463 562695.249315504),
vPublic_PresubmissionCommunityMeetings.fid--710a7ce6_150a1414ed4_-a0,Taylor Place,,22-06-2015,23-07-2015,6:00 PM,Miller Branch Library,9421 Frederick Road,Ellicott City,21042,"(39.2575,-76.7936)",,POINT (1370793.2180873603 579377.8297480773),
vPublic_PresubmissionCommunityMeetings.fid--710a7ce6_150a1414ed4_-9f,"Five Hills Farm, Lots 1-4",,25-06-2015,22-07-2015,6:00 PM,Glenwood Library,2350 Route 97,Cooksville,21723,"(39.3336,-76.9943)",,POINT (1313935.6295592263 607037.0032879505),
vPublic_PresubmissionCommunityMeetings.fid--710a7ce6_150a1414ed4_-9e,Redd & Sipes Property,,19-06-2015,21-07-2015,6:30 PM,Rockburn Elementary School,6145 Montgomery Road,Elkridge,21075,"(39.2013,-76.7164)",,POINT (1392679.307805147 558939.9457163345),
vPublic_PresubmissionCommunityMeetings.fid--710a7ce6_150a1414ed4_-9d,Woodbrook  Sec 2,,23-06-2015,21-07-2015,6:00 PM,Elkridge Volunteer Fire Dept,6275 Old Washington Blvd,Elkridge,21075,"(39.2,-76.793)",,POINT (1370981.6441384815 558454.3096585758),
vPublic_PresubmissionCommunityMeetings.fid--710a7ce6_150a1414ed4_-9c,Ten Oaks Farm,,22-06-2015,20-07-2015,6:00 PM,Fifth District Volunteer Fire Dept,5000 Signal Bell Lane,Clarksville,21029,"(39.2315,-76.9798)",,POINT (1318043.6514682733 569921.6409721784),
vPublic_PresubmissionCommunityMeetings.fid--710a7ce6_150a1414ed4_-9b,Brighton Mill  Ph 2,,04-06-2015,14-07-2015,6:00 PM,Fifth District Volunteer Fire Dept.,5000 Signal Bell Lane,Clarksville,21029,"(39.2151,-76.9826)",,POINT (1317244.9217019342 563938.2746817563),
vPublic_PresubmissionCommunityMeetings.fid--710a7ce6_150a1414ed4_-9a,Lacey Property,,18-06-2015,13-07-2015,6:00 PM,George Howard Bldg (Columbia/Ellicott City Rm),3430 Court House Drive,Ellicott City,21043,"(39.2744,-76.7998)",,POINT (1369039.2978651524 585504.7182329725),
