stop_id,stop_name,stop_lat,stop_lon,stop_code
1,Laurel Mall,39.09377258,-76.86021669,1
2,Ashford Blvd @ Courtland Pl,39.09620048,-76.86118772,2
3,Ashford Blvd @ Fenwick Ct,39.09525539,-76.86338587,3
4,Ashford Blvd @ Ashford Ct,39.09352438,-76.86485331,4
5,Cherry Ln @ Ashford Blvd,39.093079,-76.865433,5
6,Cherry Ln @ Belle Ami Dr,39.09372952,-76.87136818,6
8,Cherry Ln @ Kalmia Dr,39.09411033,-76.87402001,8
9,Van Dusen Rd @ Cherry Ln,39.09385131,-76.87584617,9
10,Van Dusen Rd @ Olive Branch Way,39.08959657,-76.87653087,10
11,Laurel Regional Hospital,39.08646625,-76.88090007,11
13,Contee Rd @ Belle Chasse Blvd,39.07922319,-76.87908198,13
14,Contee Rd @ US 1,39.07667517,-76.87064179,14
16,Contee Rd @ Larchdale Rd,39.07356582,-76.86034518,16
17,Contee RD @ Edinburgh Ln,39.07350047,-76.85346833,17
18,Contee Rd @ Deerfield Rd,39.07345667,-76.85088333,18
19,Route 197 @ Contee Rd,39.07426942,-76.84790703,19
20,Route 197 @ Snowhill Estates Ln,39.07622443,-76.84844656,20
21,Parkview @ Briarcroft Ln,39.07876048,-76.84448528,21
22,Route 197 Park & Ride,39.07827667,-76.84722667,22
23,Route 197 @ Town Center Blvd,39.07586952,-76.84864436,23
24,Route 197 @ Contee Rd,39.07335335,-76.84769417,24
25,Route 197 @ Montpelier Dr,39.06954297,-76.84256492,25
26,Route 197 @ Muirkirk Rd,39.0643288,-76.83966328,26
27,South Laurel DR @ Route 197,39.05114271,-76.837204,27
28,The Tabernacle Learning Academy Elementary School ,39.04854484,-76.83785177,28
29,S Laurel Dr @ Laurelwalk Dr S,39.0462289,-76.8376962,29
30,S Laurel Dr @ Route 197,39.05134701,-76.83680164,30
31,Route 197 @ Mallard Dr,39.05623873,-76.83797426,31
32,Route 197 @ Muirkirk Rd,39.06524863,-76.83951908,32
33,Route 197 @ Brockbridge Rd,39.07045041,-76.84332126,33
39,Contee Rd @ Arden Way,39.07362051,-76.85139998,39
40,Contee Rd @ Edinburgh Ln,39.07361047,-76.85357741,40
41,Contee Rd @ Larchdale Rd,39.07367328,-76.86031584,41
43,Contee Rd @ US 1,39.0766845,-76.8699371,43
44,Contee Rd @ Clarkwood Ln,39.07912114,-76.87777136,44
46,Laurel Regional Hospital,39.08639835,-76.88082973,46
47,Van Dusen Rd @ Killborron Dr,39.08894466,-76.87678151,47
48,Van Dusen Rd @ Cherry Ln,39.09401788,-76.875705,48
50,Cherry Ln @ Stratfield Ln,39.09397366,-76.87443903,50
52,Cherry Ln @ Belle Ami Dr,39.09352175,-76.87151178,52
53,Cherry Ln @ Cambridge Cir,39.09307106,-76.86739388,53
54,Cherry Ln @ Ashford Way,39.09297032,-76.86571971,54
56,Cherry Ln @ Laurel Lakes Pl,39.09196066,-76.85963482,56
57,Cherry Ln @ Cherry Lane Ct,39.08886031,-76.85487018,57
58,Cherry Lane Professional Park,39.08543011,-76.84912042,58
59,Laurel Pines,39.08721924,-76.84678724,59
60,Route 197 @ Clubhouse Blvd,39.08900668,-76.84614146,60
61,Route 197 @ Greenview Dr,39.09135933,-76.8446818,61
62,Route 197 @ Morris Dr,39.09324781,-76.84343233,62
63,Route 198 @ Dutch Market,39.09518667,-76.83898833,63
64,Laurel Racetrack,39.09779283,-76.83307381,64
65,Route 198 @ Brock Bridge Rd,39.10053121,-76.82504227,65
66,Route 198 @ Ethel Dr,39.10068071,-76.81976123,66
69,Route 198 @ Corridor Marketplace,39.09788667,-76.80671833,69
70,Walmart @ Russet Green East,39.1009859,-76.80269096,70
74,Old Annapolis Rd @ Style Ave,39.099455,-76.81577833,74
83,Route 198 @ Brock Bridge Rd,39.10061911,-76.82657909,83
84,Laurel Racetrack,39.09842229,-76.83312098,84
85,Route 198 @ Laurel Plaza,39.0959828,-76.83771547,85
87,Route 197 @ Greenview Dr,39.09050938,-76.84554461,87
88,Cherry Ln @ Kimberly Gardens,39.08564109,-76.84908606,88
89,Cherry Ln @ Cherry Lane Ct,39.08919608,-76.85478034,89
90,Cherry Ln @ US 1,39.09213938,-76.8584802,90
92,4th St @ Laurel Lakes Pl,39.09266177,-76.86114781,92
97,US 1 @ Laurel Ave,39.10057315,-76.84557072,97
98,US 1 @ Little Montgomery Ave,39.10224301,-76.84380772,98
99,US 1 @ Main St,39.10353731,-76.84244252,99
100,Laurel Race Track,39.10639994,-76.83917712,100
101,Midway Plaza,39.10922965,-76.8365644,101
102,N 2nd St @ Davis Ave,39.11044869,-76.8360263,102
103,Brewers Court,39.11446144,-76.83305675,103
105,Whiskey Bottom Rd @ Glen Ridge Dr,39.12037808,-76.83765947,105
106,Whiskey Bottom Rd @ Harmony Ln,39.12376167,-76.84134167,106
107,Whiskey Bottom Rd @ All Saints Rd,39.12516795,-76.84310051,107
108,All Saints Rd @ Bourbon St,39.12346275,-76.84453036,108
109,All Saints Rd @ N Laurel Rd,39.121485,-76.84767,109
110,All Saints Rd @ Whiskey Run Rd,39.12003249,-76.85014019,110
112,All Saints Rd @ Naylor Ave,39.11646333,-76.85498167,112
114,Pilgrim Ave @ Harvest Way,39.11096667,-76.854005,114
115,7th St @ Main St,39.10928333,-76.85390833,115
117,8th St @ Laurel Ave,39.10532289,-76.85694221,117
118,8th St @ West St,39.10316834,-76.85740333,118
119,8th St @ Montrose Ave,39.10058151,-76.85790876,119
120,Montrose Ave @ 7th St,39.09863676,-76.85777239,120
121,4th St @ Greenhill Ave,39.0966256,-76.85722471,121
122,Laurel Mall,39.09514962,-76.85890258,122
123,4th St @ Montrose Ave,39.09733167,-76.85628667,123
124,4th St @ Marshall Ave,39.09853167,-76.85485333,124
126,4th St @ Main St,39.10574476,-76.84799965,126
127,Main St  @ C St,39.10515205,-76.84631061,127
128,Washington Blvd @ Maier Rd,39.12106871,-76.82674872,128
129,Savage II Industrial Park,39.1241153,-76.82428401,129
130,Washington Blvd @ Freestate Dr,39.12688577,-76.82204572,130
139,Savage Guilford Rd @ Baltimore St,39.13823726,-76.82405103,139
140,Savage Guilford Rd @ Lincoln St,39.14063935,-76.82462565,140
142,Vollmerhausen Rd @ Castleford Dr,39.14859333,-76.82045,142
145,Guilford Rd @ Mission Rd,39.15643167,-76.821175,145
146,Guilford Rd @ Stirling Bridge Dr,39.16182167,-76.82498833,146
147,Oakland Mills Rd @ Guilford Rd,39.16415675,-76.83036479,147
148,Guilford Rd @ Ridgeview Dr,39.16452341,-76.83334282,148
149,Guilford Rd @ Gerwig Ln,39.16701189,-76.83905038,149
150,Rivers Technology Park,39.16876448,-76.84447091,150
151,Rivers Park,39.16948887,-76.84971839,151
152,Guilford Rd @ Early April Way,39.1670999,-76.85413106,152
153,Brokenland Pkwy Park and Ride,39.17484824,-76.85080857,153
154,Brokenland Pkwy @ Snowden River Pkwy,39.17821667,-76.84768059,154
155,Cradlerock Way @ Swan Point Way,39.18596555,-76.84130996,155
156,Owen Brown Village Center,39.18657869,-76.84253108,156
157,Cradlerock Way @ Smooth Path,39.18798133,-76.8399136,157
158,Cradlerock Way @ Smooth Path,39.18851314,-76.83981741,158
159,Cradlerock Way @ Talisman Ln,39.1898826,-76.838821,159
160,Cradlerock Way @ Garland Ln,39.19397667,-76.83920167,160
161,Cradlerock Way @ Frietchie Row,39.19250333,-76.843785,161
162,East Columbia Library,39.19112083,-76.84669797,162
163,Broken Land Pkwy @ Cradlerock Way,39.192035,-76.851375,163
164,Woodside Ct @ Stevens Forrest Rd,39.19682333,-76.85335833,164
166,Brokenland Pkwy @ Stevens Forest Rd,39.1981075,-76.85158384,166
167,Broken Land Pkwy @ Hickory Ridge Rd,39.20703226,-76.86698093,167
169,Columbia Mall,39.21455454,-76.86386602,169
170,Broken Land Pkwy @ Hickory Ridge Rd,39.20713388,-76.86660376,170
171,Brokenland Pkwy @ Stevens Forest Rd,39.19762888,-76.85181099,171
173,Woodside Ct @ Humanim,39.19352167,-76.852455,173
174,East Columbia Library,39.19116667,-76.845635,174
175,Cradlerock Way @ Frietchie Row,39.19207167,-76.84397833,175
176,Cradlerock Way @ Garland Ln,39.19415833,-76.83959833,176
177,Cradlerock Way @ Talisman Ln,39.18973769,-76.83920647,177
178,Cradlerock Way @ Smooth Path,39.18852895,-76.84000413,178
179,Cradlerock Way @ Smooth Path,39.18794703,-76.84009747,179
181,Brokenland Pkwy @ Cradlerock Way,39.18480767,-76.85050477,181
182,Brokenland Pkwy @ Patuxent Woods Dr,39.17825271,-76.84821219,182
184,Guilford Rd @ Early April Way,39.16698352,-76.85424175,184
185,Rivers Park,39.16948455,-76.84947891,185
186,Rivers Technology Park,39.16866018,-76.84458778,186
187,Guilford Rd @ Gerwig Ln,39.16703881,-76.8387582,187
188,Alberta Gary Memorial Church,39.16441395,-76.83322569,188
189,Guilford Rd @ Oakland Mills Rd,39.16406608,-76.83101218,189
190,Guilford Rd @ Stirling Bridge Dr,39.16146707,-76.82473361,190
191,Entrance to Morningside Park,39.154375,-76.82006667,191
192,Morningside Park,39.15523167,-76.820605,192
193,Vollmerhausen Rd @ Willowwood Way,39.149015,-76.81837333,193
194,Vollmerhausen Rd @ Rosewood Way,39.14867333,-76.82054333,194
196,Savage Guilford Rd @ Lincoln St,39.14047998,-76.82444237,196
206,Washington Blvd @ Freestate DR,39.12744898,-76.8219917,206
207,Washington Blvd @ Lynn Buff Ct,39.12253144,-76.8258549,207
208,Country Meadows Apts,39.11903425,-76.82902717,208
209,US 1 North Laurel,39.11465063,-76.83331005,209
210,Washington Blvd @ Hill St,39.11369664,-76.83431589,210
211,Washington Blvd @ Madison Ave,39.10867993,-76.83882233,211
218,4th St @ Montrose Ave,39.0973783,-76.85637451,218
220,Laurel Lakes Pl @ Cherry Ln,39.09063387,-76.8595706,220
221,Laurel Pl @ Mulberry St,39.08861645,-76.86094232,221
222,Mulberry St @ Yardarm Way,39.08755431,-76.8646927,222
223,Mulberry St @ Briston St,39.08428826,-76.86582624,223
224,Cypress Street @ Mulberry Street,39.08298595,-76.86555772,224
225,Laurel Lakes Senior Housing,39.08135833,-76.86709833,225
226,US 1 @ Braygreen Rd,39.07820839,-76.86639372,226
227,US 1 @ Contee Rd,39.07576445,-76.8689468,227
228,US 1 @ Maryland Cemetery,39.07049419,-76.87488334,228
229,Muirkirk Meadows Rd @ US 1,39.06100824,-76.88740091,229
230,Muirkirk Meadows Rd @ Muirkirk Rd,39.06264018,-76.88904078,230
231,Muirkirk MARC Station,39.06131309,-76.88354646,231
232,FDA Muirkirk Campus,39.05557547,-76.86115678,232
233,Muirkirk Rd @ Montpelier Dr,39.056325,-76.86572667,233
234,Muirkirk RD @ Longwood Dr,39.05898,-76.878525,234
235,Old BaltImore Pike @ Distribution Dr,39.05546986,-76.88515676,235
238,Industrial Drive,39.05118247,-76.8888192,238
239,Old BaltImore Pike @ Ammendale Rd,39.04898641,-76.89066591,239
240,Edmondston Rd @ Old Baltimore Pike,39.04044834,-76.89871,240
241,Edmondston Rd @ Hammett St,39.035665,-76.89857,241
242,Kenilworth Ave @ Crescent Rd,39.00681155,-76.89268694,242
